datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-10-08 15,1348.86,0.49074,12,23.4,17.5,123,94,0.3,1
2024-10-08 16,1019.62,0.4912,11.9,24.5,18.8,113,53,0.2,1
2024-10-08 17,1289.41,0.50137,12.3,21.1,14.9,103,60,0.2,1
2024-10-08 18,1237.89,0.49156,11.9,25,15.7,96,39,0.1,0
2024-10-08 19,1047.19,0.49693,11.7,26.5,14.2,85,11,0,0
2024-10-08 20,1437.42,0.50242,11.1,19.8,12.8,70,0,0,0
2024-10-08 21,1331.74,0.49763,11.1,25.8,19.5,56,0,0,0
2024-10-08 22,1153.72,0.49085,11.2,24.6,17.9,73,0,0,0
2024-10-08 23,1316.68,0.48746,11.3,26.8,19.4,77,0,0,0
2024-10-09 00,1417,0.48069,11.3,34.6,22,68,0,0,0
2024-10-09 01,1220.04,0.47462,11,38.1,25.4,76,0,0,0
2024-10-09 02,1497.66,0.4725,11,34.6,25.5,85,0,0,0
2024-10-09 03,1505.78,0.46401,11.2,30.4,21.2,88,0,0,0
2024-10-09 04,1230.7,0.46284,11,27.5,19.6,88,0,0,0
2024-10-09 05,1588.68,0.46625,11,24.2,16.1,105,0,0,0
2024-10-09 06,2838.3,0.47191,11.3,22.5,11.9,112,0,0,0
2024-10-09 07,2530.88,0.4804,11.8,27,21.5,235,0,0,0
2024-10-09 08,2856.32,0.48782,11.7,26.3,18.8,252,0,0,0
2024-10-09 09,2750.72,0.49254,12.7,23.8,14.9,192,2,0,0
2024-10-09 10,2488.77,0.49159,12.4,23.7,15.3,191,15,0.1,0
2024-10-09 11,2683.81,0.49112,12.5,20,12.7,188,20,0.1,0
2024-10-09 12,3374.52,0.4903,13.2,17.9,12.2,169,65,0.2,1
2024-10-09 13,1605.36,0.48971,13.5,17.8,11.4,223,166,0.6,2
2024-10-09 14,1276.66,0.48735,13.8,28.9,18.6,194,139,0.5,1
2024-10-09 15,1353.53,0.48523,13.8,29.2,18.5,207,104,0.4,1
2024-10-09 16,1289.48,0.48523,12.7,27.3,21,203,104,0.4,1
2024-10-09 17,1532.58,0.48511,12.9,22.8,19.7,191,63,0.2,1
2024-10-09 18,1517.45,0.48877,12.5,23.8,19.5,312,27,0.1,0
2024-10-09 19,1281,0.49159,12.8,24.7,19,189,16,0.1,0
2024-10-09 20,1437.29,0.49419,12,24.2,13,220,0,0,0
2024-10-09 21,1597.7,0.49124,12,12.5,5.9,180,0,0,0
2024-10-09 22,1297.26,0.4903,11.7,10.7,6.5,130,0,0,0
